x_dts,burned_features
60.603,0
62.633,0
64.662,0
66.691,0
68.72,0
70.749,0
72.778,0
74.808,0
76.837,0
78.866,0
80.895,0
82.924,0
84.954,0
86.983,0
89.012,0
91.041,0
93.07,0
95.1,0
97.129,0
99.158,0
101.187,0
103.216,0
105.246,0
107.275,0
109.304,0
111.333,0
113.362,0
115.391,0
117.421,0
119.45,0
121.479,0
123.508,0
125.537,0
127.567,0
129.596,0
131.625,0
133.654,0
135.683,0
137.713,0
139.742,0
141.771,0
143.8,0
145.829,0
147.858,0
149.888,0
151.917,0
153.946,0
155.975,0
158.004,0
160.034,0
162.063,0
164.092,0
166.121,0
168.15,0
170.18,0
172.209,0
174.238,0
176.267,0
178.296,0
180.326,0
182.355,0
184.384,0
186.413,0
188.442,0
190.471,0
192.501,0
194.53,0
196.559,0
198.588,0
200.617,0
202.647,0
204.676,0
206.705,0
208.734,0
210.763,0
212.793,0
214.822,0
216.851,0
218.88,0
220.909,0
222.939,0
224.968,0
226.997,0
229.026,0
231.055,0
233.084,0
235.114,0
237.143,0
239.172,0
241.201,0
243.23,0
245.26,0
247.289,0
249.318,0
251.347,0
253.376,0
255.406,0
257.435,0
259.464,0
261.493,0
263.522,0
265.551,0
267.581,0
269.61,0
271.639,0
273.668,0
275.697,0
277.727,0
279.756,0
281.785,0
283.814,0
285.843,0
287.873,0
289.902,0
291.931,0
293.96,0
295.989,0
298.019,0
300.048,0
302.077,0
304.106,0
306.135,0
308.164,0
310.194,0
312.223,0
314.252,0
316.281,0
318.31,0
320.34,0
322.369,0
324.398,0
326.427,0
328.456,0
330.486,0
332.515,0
334.544,0
336.573,0
338.602,0
340.632,0
342.661,0
344.69,0
346.719,0
348.748,0
350.777,0
352.807,0
354.836,0
356.865,0
358.894,0
360.923,0
362.953,0
364.982,0
367.011,0
369.04,0
371.069,0
373.099,0
375.128,0
377.157,0
379.186,0
381.215,32
383.244,32
385.274,32
387.303,32
389.332,32
391.361,32
393.39,32
395.42,32
397.449,32
399.478,32
401.507,32
403.536,32
405.566,32
407.595,32
409.624,32
411.653,32
413.682,32
415.712,32
417.741,32
419.77,32
421.799,32
423.828,32
425.857,32
427.887,32
429.916,32
431.945,32
433.974,32
436.003,32
438.033,32
440.062,32
442.091,32
444.12,32
446.149,32
448.179,32
450.208,0
452.237,0
454.266,0
456.295,0
458.324,0
460.354,0
462.383,0
464.412,0
466.441,0
468.47,0
470.5,0
472.529,0
474.558,0
476.587,0
478.616,0
480.646,0
482.675,0
484.704,0
486.733,0
488.762,0
490.792,0
492.821,0
494.85,0
496.879,0
498.908,0
500.937,0
502.967,0
504.996,0
507.025,0
509.054,0
511.083,0
513.113,0
515.142,0
517.171,0
519.2,0
521.229,0
523.259,0
525.288,0
527.317,0
529.346,0
531.375,0
533.405,0
535.434,0
537.463,0
539.492,0
541.521,0
543.55,0
545.58,0
547.609,0
549.638,0
551.667,0
553.696,0
555.726,0
557.755,0
559.784,0
561.813,0
563.842,0
565.872,0
567.901,0
569.93,0
571.959,0
573.988,0
576.017,0
578.047,0
580.076,0
582.105,0
584.134,0
586.163,0
588.193,0
590.222,0
592.251,0
594.28,0
596.309,0
598.339,0
600.368,0
602.397,0
604.426,0
606.455,1
608.485,1
610.514,1
612.543,1
614.572,1
616.601,1
618.63,1
620.66,1
622.689,1
624.718,1
626.747,1
628.776,1
630.806,1
632.835,1
634.864,1
636.893,1
638.922,1
640.952,1
642.981,1
645.01,1
647.039,1
649.068,1
651.097,1
653.127,1
655.156,0
657.185,0
659.214,0
661.243,0
663.273,0
665.302,0
667.331,0
669.36,0
671.389,0
673.419,0
675.448,2
677.477,2
679.506,2
681.535,2
683.565,2
685.594,2
687.623,2
689.652,2
691.681,2
693.71,2
695.74,2
697.769,2
699.798,2
701.827,2
703.856,2
705.886,2
707.915,2
709.944,2
711.973,2
714.002,2
716.032,2
718.061,2
720.09,2
722.119,2
724.148,2
726.178,0
728.207,0
730.236,0
732.265,0
734.294,0
736.323,0
738.353,0
740.382,0
742.411,0
744.44,0
746.469,0
748.499,0
750.528,0
752.557,0
754.586,0
756.615,0
758.645,0
760.674,0
762.703,0
764.732,0
766.761,0
768.79,0
770.82,0
772.849,0
774.878,0
776.907,0
778.936,0
780.966,0
782.995,0
785.024,0
787.053,0
789.082,0
791.112,0
793.141,0
795.17,0
797.199,0
799.228,0
801.258,0
803.287,0
805.316,0
807.345,0
809.374,0
811.403,0
813.433,0
815.462,0
817.491,0
819.52,0
821.549,0
823.579,0
825.608,0
827.637,0
829.666,0
831.695,0
833.725,0
835.754,0
837.783,0
839.812,0
841.841,0
843.87,0
845.9,0
847.929,0
849.958,0
851.987,0
854.016,0
856.046,0
858.075,0
860.104,0
862.133,0
864.162,0
866.192,0
868.221,0
870.25,0
872.279,0
874.308,0
876.338,0
878.367,0
880.396,0
882.425,0
884.454,0
886.483,0
888.513,0
890.542,0
892.571,0
894.6,0
896.629,0
898.659,0
900.688,0
902.717,0
904.746,0
906.775,0
908.805,0
910.834,0
912.863,0
914.892,0
916.921,0
918.951,0
920.98,0
923.009,0
925.038,0
927.067,0
929.096,0
931.126,0
933.155,0
935.184,0
937.213,0
939.242,0
941.272,0
943.301,0
945.33,0
947.359,0
949.388,0
951.418,0
953.447,0
955.476,0
957.505,0
959.534,0
961.563,0
963.593,0
965.622,0
967.651,0
969.68,0
971.709,0
973.739,0
975.768,0
977.797,0
979.826,0
981.855,0
983.885,0
985.914,0
987.943,0
989.972,0
992.001,0
994.031,0
996.06,0
998.089,0
1000.118,64
1002.147,64
1004.176,64
1006.206,64
1008.235,64
1010.264,64
1012.293,64
1014.322,64
1016.352,64
1018.381,64
1020.41,64
1022.439,64
1024.468,64
1026.498,64
1028.527,64
1030.556,64
1032.585,64
1034.614,64
1036.644,64
1038.673,64
1040.702,64
1042.731,64
1044.76,64
1046.789,64
1048.819,64
1050.848,64
1052.877,64
1054.906,64
1056.935,64
1058.965,64
1060.994,64
1063.023,64
1065.052,64
1067.081,64
1069.111,64
1071.14,64
1073.169,64
1075.198,64
1077.227,64
1079.256,64
1081.286,64
1083.315,64
1085.344,64
1087.373,64
1089.402,64
1091.432,64
1093.461,64
1095.49,64
1097.519,64
1099.548,64
1101.578,64
1103.607,64
1105.636,64
1107.665,64
1109.694,64
1111.724,64
1113.753,64
1115.782,64
1117.811,64
1119.84,64
1121.869,64
1123.899,64
1125.928,64
1127.957,64
1129.986,64
1132.015,64
1134.045,64
1136.074,64
1138.103,64
1140.132,64
1142.161,64
1144.191,64
1146.22,64
1148.249,64
1150.278,64
1152.307,64
1154.336,64
1156.366,64
1158.395,64
1160.424,64
1162.453,64
1164.482,64
1166.512,64
1168.541,64
1170.57,64
1172.599,64
1174.628,64
1176.658,64
1178.687,64
1180.716,64
1182.745,64
1184.774,64
1186.804,64
1188.833,64
1190.862,64
1192.891,64
1194.92,64
1196.949,64
1198.979,64
1201.008,64
1203.037,64
1205.066,64
1207.095,64
1209.125,64
1211.154,64
1213.183,64
1215.212,64
1217.241,64
1219.271,64
1221.3,64
1223.329,64
1225.358,64
1227.387,64
1229.417,64
1231.446,64
1233.475,64
1235.504,64
1237.533,64
1239.562,64
1241.592,64
1243.621,64
1245.65,64
1247.679,64
1249.708,64
1251.738,64
1253.767,64
1255.796,64
1257.825,64
1259.854,64
1261.884,64
1263.913,64
1265.942,64
1267.971,64
1270.0,64
1272.029,64
1274.059,64
1276.088,64
1278.117,64
1280.146,64
1282.175,64
1284.205,64
1286.234,64
1288.263,64
1290.292,64
1292.321,64
1294.351,64
1296.38,64
1298.409,64
1300.438,0
1302.467,0
1304.497,0
1306.526,0
1308.555,0
1310.584,0
1312.613,0
1314.642,0
1316.672,0
1318.701,0
1320.73,0
1322.759,0
1324.788,0
1326.818,0
1328.847,0
1330.876,0
1332.905,0
1334.934,0
1336.964,0
1338.993,0
1341.022,0
1343.051,0
1345.08,0
1347.109,0
1349.139,0
1351.168,0
1353.197,0
1355.226,0
1357.255,0
1359.285,0
1361.314,0
1363.343,0
1365.372,0
1367.401,0
1369.431,0
1371.46,0
1373.489,0
1375.518,0
1377.547,0
1379.577,0
1381.606,0
1383.635,0
1385.664,0
1387.693,0
1389.722,0
1391.752,0
1393.781,0
1395.81,0
1397.839,0
1399.868,0
1401.898,0
1403.927,0
1405.956,0
1407.985,0
1410.014,0
1412.044,0
1414.073,0
1416.102,0
1418.131,0
1420.16,0
1422.19,0
1424.219,0
1426.248,0
1428.277,0
1430.306,0
1432.335,0
1434.365,0
1436.394,0
1438.423,0
1440.452,0
1442.481,0
1444.511,0
1446.54,4
1448.569,4
1450.598,4
1452.627,4
1454.657,4
1456.686,4
1458.715,4
1460.744,4
1462.773,4
1464.802,4
1466.832,4
1468.861,4
1470.89,4
1472.919,4
1474.948,4
1476.978,4
1479.007,4
1481.036,4
1483.065,4
1485.094,4
1487.124,4
1489.153,4
1491.182,4
1493.211,4
1495.24,0
1497.27,0
1499.299,0
1501.328,0
1503.357,0
1505.386,0
1507.415,0
1509.445,0
1511.474,0
1513.503,0
1515.532,0
1517.561,0
1519.591,0
1521.62,0
1523.649,0
1525.678,0
1527.707,0
1529.737,0
1531.766,0
1533.795,0
1535.824,0
1537.853,0
1539.883,0
1541.912,0
1543.941,0
1545.97,0
1547.999,0
1550.028,0
1552.058,0
1554.087,0
1556.116,0
1558.145,0
1560.174,0
1562.204,0
1564.233,0
1566.262,0
1568.291,0
1570.32,0
1572.35,0
1574.379,0
1576.408,0
1578.437,0
1580.466,0
1582.495,0
1584.525,0
1586.554,0
1588.583,0
1590.612,0
1592.641,0
1594.671,0
1596.7,0
1598.729,0
1600.758,0
1602.787,0
1604.817,0
1606.846,0
1608.875,0
1610.904,0
1612.933,0
1614.963,0
1616.992,0
1619.021,0
1621.05,0
1623.079,0
1625.108,0
1627.138,0
1629.167,0
1631.196,0
1633.225,0
1635.254,0
1637.284,0
1639.313,0
1641.342,0
1643.371,0
1645.4,0
1647.43,0
1649.459,0
1651.488,0
1653.517,0
1655.546,0
1657.575,0
1659.605,0
1661.634,0
1663.663,0
1665.692,0
1667.721,0
1669.751,0
1671.78,0
1673.809,0
1675.838,0
1677.867,0
1679.897,0
1681.926,0
1683.955,0
1685.984,0
1688.013,0
1690.043,0
1692.072,0
1694.101,0
1696.13,0
1698.159,0
1700.188,0
1702.218,0
1704.247,0
1706.276,0
1708.305,0
1710.334,0
1712.364,0
1714.393,0
1716.422,0
